[2026-05-13 15:25:34] INFO  swap=84% compressor=9405MB threshold_swap=0% threshold_comp=5000MB dry_run=1
[2026-05-13 15:25:37] INFO  完成: swap=84% compressor=9405MB
[2026-05-13 15:41:26] INFO  swap=83% compressor=5002MB threshold_swap=60% threshold_comp=5000MB dry_run=0
[2026-05-13 15:41:26] WARN  触发阈值: swap=83% comp=5002MB — 开始清理
[2026-05-13 15:41:26] SKIP  Genspark 未运行
[2026-05-13 15:41:28] INFO  退出 Genspark 后: swap=83% compressor=5002MB
[2026-05-13 15:41:28] INFO  扫描 >3 天的僵尸 MCP 进程
[2026-05-13 15:41:28] SKIP  PID 6054 有活跃父进程 94000，跳过
[2026-05-13 15:41:28] SKIP  PID 6661 有活跃父进程 6587，跳过
[2026-05-13 15:41:28] SKIP  PID 6666 有活跃父进程 6587，跳过
[2026-05-13 15:41:28] SKIP  PID 6677 有活跃父进程 6666，跳过
[2026-05-13 15:41:28] SKIP  PID 8227 有活跃父进程 60373，跳过
[2026-05-13 15:41:28] SKIP  PID 8232 有活跃父进程 60373，跳过
[2026-05-13 15:41:28] SKIP  PID 8261 有活跃父进程 8232，跳过
[2026-05-13 15:41:28] SKIP  PID 17004 有活跃父进程 60373，跳过
[2026-05-13 15:41:28] SKIP  PID 17009 有活跃父进程 60373，跳过
[2026-05-13 15:41:28] SKIP  PID 17035 有活跃父进程 17009，跳过
[2026-05-13 15:41:28] SKIP  PID 60447 有活跃父进程 60373，跳过
[2026-05-13 15:41:28] SKIP  PID 60452 有活跃父进程 60373，跳过
[2026-05-13 15:41:28] SKIP  PID 60463 有活跃父进程 60452，跳过
[2026-05-13 15:41:29] SKIP  PID 60562 有活跃父进程 60373，跳过
[2026-05-13 15:41:29] SKIP  PID 60567 有活跃父进程 60373，跳过
[2026-05-13 15:41:29] SKIP  PID 60593 有活跃父进程 60567，跳过
[2026-05-13 15:41:29] SKIP  PID 98565 有活跃父进程 98324，跳过
[2026-05-13 15:41:29] SKIP  PID 98570 有活跃父进程 98324，跳过
[2026-05-13 15:41:29] SKIP  PID 98575 有活跃父进程 98324，跳过
[2026-05-13 15:41:29] SKIP  PID 98588 有活跃父进程 98575，跳过
[2026-05-13 15:41:29] SKIP  PID 98591 有活跃父进程 98587，跳过
[2026-05-13 15:41:29] SKIP  PID 50287 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 50288 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 50291 有活跃父进程 50288，跳过
[2026-05-13 15:41:29] SKIP  PID 50325 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 50413 有活跃父进程 50346，跳过
[2026-05-13 15:41:29] SKIP  PID 50481 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 50501 有活跃父进程 50437，跳过
[2026-05-13 15:41:29] SKIP  PID 50523 有活跃父进程 50440，跳过
[2026-05-13 15:41:29] SKIP  PID 50527 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 50726 有活跃父进程 50481，跳过
[2026-05-13 15:41:29] SKIP  PID 51030 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 51066 有活跃父进程 50267，跳过
[2026-05-13 15:41:29] SKIP  PID 7324 有活跃父进程 7264，跳过
[2026-05-13 15:41:29] SKIP  PID 7325 有活跃父进程 7264，跳过
[2026-05-13 15:41:29] SKIP  PID 7327 有活跃父进程 7325，跳过
[2026-05-13 15:41:29] SKIP  PID 7359 有活跃父进程 7264，跳过
[2026-05-13 15:41:29] SKIP  PID 7448 有活跃父进程 7367，跳过
[2026-05-13 15:41:29] SKIP  PID 7509 有活跃父进程 7264，跳过
[2026-05-13 15:41:29] SKIP  PID 7529 有活跃父进程 7469，跳过
[2026-05-13 15:41:29] SKIP  PID 7549 有活跃父进程 7470，跳过
[2026-05-13 15:41:29] SKIP  PID 7552 有活跃父进程 7264，跳过
[2026-05-13 15:41:29] SKIP  PID 7572 有活跃父进程 7509，跳过
[2026-05-13 15:41:29] SKIP  PID 7617 有活跃父进程 7264，跳过
[2026-05-13 15:41:29] SKIP  PID 7618 有活跃父进程 7264，跳过
[2026-05-13 15:41:30] SKIP  PID 95103 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 95104 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 95107 有活跃父进程 95104，跳过
[2026-05-13 15:41:30] SKIP  PID 95140 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 95264 有活跃父进程 95143，跳过
[2026-05-13 15:41:30] SKIP  PID 95316 有活跃父进程 95265，跳过
[2026-05-13 15:41:30] SKIP  PID 95318 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 95364 有活跃父进程 95317，跳过
[2026-05-13 15:41:30] SKIP  PID 95391 有活跃父进程 95318，跳过
[2026-05-13 15:41:30] SKIP  PID 95392 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 95455 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 95478 有活跃父进程 95064，跳过
[2026-05-13 15:41:30] SKIP  PID 52759 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 52760 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 52763 有活跃父进程 52760，跳过
[2026-05-13 15:41:30] SKIP  PID 52795 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 52885 有活跃父进程 52802，跳过
[2026-05-13 15:41:30] SKIP  PID 52946 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 52966 有活跃父进程 52907，跳过
[2026-05-13 15:41:30] SKIP  PID 52986 有活跃父进程 52908，跳过
[2026-05-13 15:41:30] SKIP  PID 52988 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 53015 有活跃父进程 52946，跳过
[2026-05-13 15:41:30] SKIP  PID 53069 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 53100 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 59499 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 59500 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 59504 有活跃父进程 59500，跳过
[2026-05-13 15:41:30] SKIP  PID 59532 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 59805 有活跃父进程 59554，跳过
[2026-05-13 15:41:30] SKIP  PID 59975 有活跃父进程 59810，跳过
[2026-05-13 15:41:30] SKIP  PID 59976 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 60040 有活跃父进程 59935，跳过
[2026-05-13 15:41:30] SKIP  PID 60047 有活跃父进程 59491，跳过
[2026-05-13 15:41:31] SKIP  PID 60070 有活跃父进程 59976，跳过
[2026-05-13 15:41:31] SKIP  PID 60130 有活跃父进程 59491，跳过
[2026-05-13 15:41:31] SKIP  PID 60131 有活跃父进程 59491，跳过
[2026-05-13 15:41:31] SKIP  PID 63934 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 63936 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 63939 有活跃父进程 63936，跳过
[2026-05-13 15:41:31] SKIP  PID 63973 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 64089 有活跃父进程 63993，跳过
[2026-05-13 15:41:31] SKIP  PID 64127 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 64149 有活跃父进程 64094，跳过
[2026-05-13 15:41:31] SKIP  PID 64169 有活跃父进程 64095，跳过
[2026-05-13 15:41:31] SKIP  PID 64173 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 64193 有活跃父进程 64127，跳过
[2026-05-13 15:41:31] SKIP  PID 64227 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 64267 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 60788 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 60789 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 60791 有活跃父进程 60789，跳过
[2026-05-13 15:41:31] SKIP  PID 60822 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 60854 有活跃父进程 60828，跳过
[2026-05-13 15:41:31] SKIP  PID 60936 有活跃父进程 60848，跳过
[2026-05-13 15:41:31] SKIP  PID 61015 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 61035 有活跃父进程 60977，跳过
[2026-05-13 15:41:31] SKIP  PID 61036 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 61056 有活跃父进程 61004，跳过
[2026-05-13 15:41:31] SKIP  PID 61076 有活跃父进程 61015，跳过
[2026-05-13 15:41:31] SKIP  PID 61104 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 61129 有活跃父进程 60745，跳过
[2026-05-13 15:41:31] SKIP  PID 61149 有活跃父进程 61102，跳过
[2026-05-13 15:41:31] INFO  完成: swap=83% compressor=5002MB
[2026-05-13 15:56:32] INFO  swap=83% compressor=4947MB threshold_swap=60% threshold_comp=5000MB dry_run=0
[2026-05-13 15:56:32] WARN  触发阈值: swap=83% comp=4947MB — 开始清理
[2026-05-13 15:56:32] SKIP  Genspark 未运行
[2026-05-13 15:56:34] INFO  退出 Genspark 后: swap=83% compressor=4947MB
[2026-05-13 15:56:34] INFO  扫描 >3 天的僵尸 MCP 进程
[2026-05-13 15:56:34] SKIP  PID 6054 有活跃父进程 94000，跳过
[2026-05-13 15:56:34] SKIP  PID 6661 有活跃父进程 6587，跳过
[2026-05-13 15:56:34] SKIP  PID 6666 有活跃父进程 6587，跳过
[2026-05-13 15:56:34] SKIP  PID 6677 有活跃父进程 6666，跳过
[2026-05-13 15:56:34] SKIP  PID 8227 有活跃父进程 60373，跳过
[2026-05-13 15:56:34] SKIP  PID 8232 有活跃父进程 60373，跳过
[2026-05-13 15:56:34] SKIP  PID 8261 有活跃父进程 8232，跳过
[2026-05-13 15:56:34] SKIP  PID 17004 有活跃父进程 60373，跳过
[2026-05-13 15:56:34] SKIP  PID 17009 有活跃父进程 60373，跳过
[2026-05-13 15:56:34] SKIP  PID 17035 有活跃父进程 17009，跳过
[2026-05-13 15:56:34] SKIP  PID 60447 有活跃父进程 60373，跳过
[2026-05-13 15:56:34] SKIP  PID 60452 有活跃父进程 60373，跳过
[2026-05-13 15:56:35] SKIP  PID 60463 有活跃父进程 60452，跳过
[2026-05-13 15:56:35] SKIP  PID 60562 有活跃父进程 60373，跳过
[2026-05-13 15:56:35] SKIP  PID 60567 有活跃父进程 60373，跳过
[2026-05-13 15:56:35] SKIP  PID 60593 有活跃父进程 60567，跳过
[2026-05-13 15:56:35] SKIP  PID 98565 有活跃父进程 98324，跳过
[2026-05-13 15:56:35] SKIP  PID 98570 有活跃父进程 98324，跳过
[2026-05-13 15:56:35] SKIP  PID 98575 有活跃父进程 98324，跳过
[2026-05-13 15:56:35] SKIP  PID 98588 有活跃父进程 98575，跳过
[2026-05-13 15:56:35] SKIP  PID 98591 有活跃父进程 98587，跳过
[2026-05-13 15:56:35] SKIP  PID 50287 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 50288 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 50291 有活跃父进程 50288，跳过
[2026-05-13 15:56:35] SKIP  PID 50325 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 50413 有活跃父进程 50346，跳过
[2026-05-13 15:56:35] SKIP  PID 50481 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 50501 有活跃父进程 50437，跳过
[2026-05-13 15:56:35] SKIP  PID 50523 有活跃父进程 50440，跳过
[2026-05-13 15:56:35] SKIP  PID 50527 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 50726 有活跃父进程 50481，跳过
[2026-05-13 15:56:35] SKIP  PID 51030 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 51066 有活跃父进程 50267，跳过
[2026-05-13 15:56:35] SKIP  PID 7324 有活跃父进程 7264，跳过
[2026-05-13 15:56:35] SKIP  PID 7325 有活跃父进程 7264，跳过
[2026-05-13 15:56:35] SKIP  PID 7327 有活跃父进程 7325，跳过
[2026-05-13 15:56:35] SKIP  PID 7359 有活跃父进程 7264，跳过
[2026-05-13 15:56:35] SKIP  PID 7448 有活跃父进程 7367，跳过
[2026-05-13 15:56:35] SKIP  PID 7509 有活跃父进程 7264，跳过
[2026-05-13 15:56:35] SKIP  PID 7529 有活跃父进程 7469，跳过
[2026-05-13 15:56:35] SKIP  PID 7549 有活跃父进程 7470，跳过
[2026-05-13 15:56:35] SKIP  PID 7552 有活跃父进程 7264，跳过
[2026-05-13 15:56:36] SKIP  PID 7572 有活跃父进程 7509，跳过
[2026-05-13 15:56:36] SKIP  PID 7617 有活跃父进程 7264，跳过
[2026-05-13 15:56:36] SKIP  PID 7618 有活跃父进程 7264，跳过
[2026-05-13 15:56:36] SKIP  PID 95103 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 95104 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 95107 有活跃父进程 95104，跳过
[2026-05-13 15:56:36] SKIP  PID 95140 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 95264 有活跃父进程 95143，跳过
[2026-05-13 15:56:36] SKIP  PID 95316 有活跃父进程 95265，跳过
[2026-05-13 15:56:36] SKIP  PID 95318 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 95364 有活跃父进程 95317，跳过
[2026-05-13 15:56:36] SKIP  PID 95391 有活跃父进程 95318，跳过
[2026-05-13 15:56:36] SKIP  PID 95392 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 95455 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 95478 有活跃父进程 95064，跳过
[2026-05-13 15:56:36] SKIP  PID 52759 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 52760 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 52763 有活跃父进程 52760，跳过
[2026-05-13 15:56:36] SKIP  PID 52795 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 52885 有活跃父进程 52802，跳过
[2026-05-13 15:56:36] SKIP  PID 52946 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 52966 有活跃父进程 52907，跳过
[2026-05-13 15:56:36] SKIP  PID 52986 有活跃父进程 52908，跳过
[2026-05-13 15:56:36] SKIP  PID 52988 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 53015 有活跃父进程 52946，跳过
[2026-05-13 15:56:36] SKIP  PID 53069 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 53100 有活跃父进程 52681，跳过
[2026-05-13 15:56:36] SKIP  PID 59499 有活跃父进程 59491，跳过
[2026-05-13 15:56:36] SKIP  PID 59500 有活跃父进程 59491，跳过
[2026-05-13 15:56:36] SKIP  PID 59504 有活跃父进程 59500，跳过
[2026-05-13 15:56:36] SKIP  PID 59532 有活跃父进程 59491，跳过
[2026-05-13 15:56:36] SKIP  PID 59805 有活跃父进程 59554，跳过
[2026-05-13 15:56:37] SKIP  PID 59975 有活跃父进程 59810，跳过
[2026-05-13 15:56:37] SKIP  PID 59976 有活跃父进程 59491，跳过
[2026-05-13 15:56:37] SKIP  PID 60040 有活跃父进程 59935，跳过
[2026-05-13 15:56:37] SKIP  PID 60047 有活跃父进程 59491，跳过
[2026-05-13 15:56:37] SKIP  PID 60070 有活跃父进程 59976，跳过
[2026-05-13 15:56:37] SKIP  PID 60130 有活跃父进程 59491，跳过
[2026-05-13 15:56:37] SKIP  PID 60131 有活跃父进程 59491，跳过
[2026-05-13 15:56:37] SKIP  PID 63934 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 63936 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 63939 有活跃父进程 63936，跳过
[2026-05-13 15:56:37] SKIP  PID 63973 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64089 有活跃父进程 63993，跳过
[2026-05-13 15:56:37] SKIP  PID 64127 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64149 有活跃父进程 64094，跳过
[2026-05-13 15:56:37] SKIP  PID 64169 有活跃父进程 64095，跳过
[2026-05-13 15:56:37] SKIP  PID 64173 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64193 有活跃父进程 64127，跳过
[2026-05-13 15:56:37] SKIP  PID 64227 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64267 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 60788 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 60789 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 60791 有活跃父进程 60789，跳过
[2026-05-13 15:56:37] SKIP  PID 60822 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 60854 有活跃父进程 60828，跳过
[2026-05-13 15:56:37] SKIP  PID 60936 有活跃父进程 60848，跳过
[2026-05-13 15:56:37] SKIP  PID 61015 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61035 有活跃父进程 60977，跳过
[2026-05-13 15:56:37] SKIP  PID 61036 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61056 有活跃父进程 61004，跳过
[2026-05-13 15:56:37] SKIP  PID 61076 有活跃父进程 61015，跳过
[2026-05-13 15:56:37] SKIP  PID 61104 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61129 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61149 有活跃父进程 61102，跳过
[2026-05-13 15:56:38] INFO  完成: swap=83% compressor=4947MB
[2026-05-13 16:11:38] INFO  swap=83% compressor=4927MB threshold_swap=60% threshold_comp=5000MB dry_run=0
[2026-05-13 16:11:38] WARN  触发阈值: swap=83% comp=4927MB — 开始清理
[2026-05-13 16:11:38] SKIP  Genspark 未运行
[2026-05-13 16:11:40] INFO  退出 Genspark 后: swap=83% compressor=4927MB
[2026-05-13 16:11:40] INFO  扫描 >3 天的僵尸 MCP 进程
[2026-05-13 16:11:40] SKIP  PID 6054 有活跃父进程 94000，跳过
[2026-05-13 16:11:40] SKIP  PID 6661 有活跃父进程 6587，跳过
[2026-05-13 16:11:40] SKIP  PID 6666 有活跃父进程 6587，跳过
